lead_time,arrival_date_month,arrival_date_day_of_month,stays_in_week_nights,adults,meal,country,reserved_room_type,total_of_special_requests,adr,,,
111,February,12,2,2,FB,PRT,A,0,70,,,
111,February,12,2,2,FB,PRT,A,0,70,,,
32,February,28,5,2,BB,PRT,A,0,48,,,
19,February,28,6,2,BB,PRT,A,0,48,,,
28,February,29,7,2,BB,PRT,A,1,55.2,,,
138,February,29,7,2,BB,PRT,A,1,40.5,,,
40,February,29,4,2,BB,PRT,A,2,48,,,
15,March,1,1,2,BB,PRT,A,0,48,,,
144,March,1,3,1,HB,PRT,A,2,70,,,
45,March,1,5,2,BB,PRT,A,0,78,,,
33,March,1,6,2,HB,PRT,A,0,65,,,
57,March,1,5,2,BB,PRT,A,1,48,,,
33,March,1,6,1,HB,PRT,A,0,50,,,
61,March,1,10,2,BB,PRT,A,0,29,,,
0,March,2,1,1,BB,PRT,A,0,40,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
118,March,2,5,2,BB,PRT,A,0,33.26,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
219,March,2,5,2,HB,PRT,A,0,52,,,
45,March,14,0,2,BB,PRT,A,1,56,,,
0,March,3,1,1,BB,PRT,A,0,30,,,
7,March,3,3,1,BB,PRT,A,1,43,,,
7,March,3,3,1,BB,PRT,A,1,43,,,
30,March,4,1,1,BB,PRT,A,2,39,,,
131,March,2,20,2,BB,CN,D,1,31.45,,,
66,December,12,5,2,HB,GBR,D,0,56.7,,,
45,December,3,2,2,BB,GBR,D,1,55.95,,,
48,December,3,5,2,BB,GBR,D,0,33.3,,,
33,July,4,1,2,BB,PRT,D,0,113,,,
35,July,1,4,2,HB,PRT,D,0,145,,,
1,August,1,1,2,BB,PRT,D,2,211,,,
74,September,25,5,2,BB,PRT,D,3,89.06,,,
39,September,26,1,2,BB,PRT,D,1,80.08,,,
23,December,3,1,2,BB,PRT,D,1,46.4,,,
20,December,3,1,2,BB,PRT,D,1,46.4,,,
69,December,31,3,2,BB,PRT,D,3,199.73,,,
2,January,1,1,2,BB,PRT,D,1,89,,,
99,January,12,10,2,BB,PRT,D,1,41.4,,,
109,February,14,2,2,BB,PRT,D,1,52.2,,,
43,March,24,3,3,BB,PRT,D,0,81,,,
33,July,23,3,2,HB,ESP,E,1,194,,,
28,August,28,5,2,HB,ESP,E,0,166.14,,,
73,October,13,6,2,BB,GBR,E,2,73.38,,,
21,December,2,1,2,BB,GBR,E,2,61.2,,,
21,December,2,1,2,BB,GBR,E,2,61.2,,,
21,December,2,1,2,BB,GBR,E,2,61.2,,,
119,December,2,21,2,HB,GBR,E,0,68.2,,,
56,December,11,3,2,BB,IRL,E,1,58.7,,,
33,July,11,5,2,BB,PRT,E,0,129.29,,,
23,July,1,4,2,BB,PRT,E,0,123,,,
21,December,2,1,2,BB,PRT,E,2,61.2,,,
121,December,4,1,2,BB,PRT,E,2,50.4,,,
92,December,31,6,2,BB,PRT,E,0,66.6,,,
45,March,1,5,2,HB,PRT,E,0,81,,,
45,March,1,5,2,HB,PRT,E,0,81,,,
45,March,1,5,2,HB,PRT,E,0,81,,,
45,March,1,5,2,HB,PRT,E,0,81,,,
45,March,1,5,2,HB,PRT,E,0,81,,,
45,March,1,5,2,HB,PRT,E,0,81,,,
85,March,14,5,2,BB,PRT,E,0,59.4,,,
30,August,28,5,2,BB,GBR,F,0,150.71,,,
52,December,3,5,2,HB,GBR,F,0,87.53,,,
2,March,4,1,2,BB,PRT,F,1,75,,,
53,July,12,0,2,BB,CN,F,0,153,,,
95,August,16,5,2,BB,PRT,F,0,214,,,
16,October,25,3,2,BB,PRT,F,0,106,,,
26,November,28,5,2,BB,PRT,F,1,98,,,
20,January,1,2,2,BB,PRT,F,0,119,,,
72,February,14,2,2,BB,PRT,F,0,98,,,
69,March,24,3,3,BB,PRT,F,0,125,,,
